3474,0.031,-0.094,0.062
3416,0.005,-0.077,0.071
3371,0.005,-0.077,0.071
3312,-0.022,-0.055,0.077
3267,-0.022,-0.055,0.077
3209,-0.020,-0.050,0.070
3165,-0.020,-0.050,0.070
3114,-0.009,-0.056,0.065
3070,-0.009,-0.056,0.065
3013,-0.002,-0.055,0.057
2968,-0.002,-0.055,0.057
2910,0.005,-0.052,0.047
2871,0.005,-0.052,0.047
2813,0.019,-0.063,0.044
2767,0.019,-0.063,0.044
2708,0.029,-0.078,0.049
2661,0.029,-0.078,0.049
2601,0.011,-0.094,0.083
2560,0.011,-0.094,0.083
2500,-0.017,-0.069,0.086
2452,-0.017,-0.069,0.086
2391,-0.026,-0.039,0.065
2342,-0.026,-0.039,0.065
2280,0.011,-0.039,0.029
2231,0.011,-0.039,0.029
2176,0.018,-0.052,0.033
2127,0.018,-0.052,0.033
2064,0.018,-0.069,0.051
2015,0.018,-0.069,0.051
1952,-0.009,-0.033,0.042
1903,-0.009,-0.033,0.042
1847,0.002,-0.032,0.030
1798,0.002,-0.032,0.030
1735,-0.002,-0.022,0.024
1687,-0.002,-0.022,0.024
1626,0.002,-0.018,0.016
1578,0.002,-0.018,0.016
1524,0.006,-0.019,0.012
1476,0.006,-0.019,0.012
1416,0.020,-0.026,0.007
1369,0.020,-0.026,0.007
1310,0.018,-0.017,-0.001
12632582,-0.083,-0.001,0.084
2529,-0.106,0.004,0.102
2482,-0.106,0.004,0.102
2421,-0.125,0.046,0.079
2373,-0.125,0.046,0.079
2311,-0.087,0.044,0.043
2262,-0.087,0.044,0.043
2207,-0.057,0.024,0.034
2159,-0.057,0.024,0.034
2096,-0.056,-0.003,0.059
2048,-0.056,-0.003,0.059
1985,-0.076,-0.001,0.077
1936,-0.076,-0.001,0.077
1874,-0.078,0.004,0.074
1832,-0.078,0.004,0.074
1770,-0.082,0.007,0.076
1722,-0.082,0.007,0.076
1661,-0.072,0.000,0.072
1614,-0.072,0.000,0.072
1553,-0.075,-0.023,0.098
1506,-0.075,-0.023,0.098
1452,-0.077,-0.010,0.087
1406,-0.077,-0.010,0.087
1347,-0.071,-0.020,0.091
1301,-0.071,-0.020,0.091
1241,-0.075,-0.028,0.103
1195,-0.075,-0.028,0.103
1135,-0.084,-0.026,0.110
1083,-0.084,-0.026,0.110
1023,-0.078,-0.026,0.104
977,-0.078,-0.026,0.104
917,-0.079,-0.035,0.114
864,-0.079,-0.035,0.114
804,-0.084,-0.034,0.118
758,-0.084,-0.034,0.118
699,-0.101,-0.009,0.110
699,-0.101,-0.009,0.110
