615.79,0.20,0.02
615.15,0.27,0.01
604.26,0.77,0.02
608.62,0.01,0.02
610.25,0.80,0.02
597.71,0.76,0.01
612.20,0.27,0.01
614.79,0.24,0.02
608.40,0.77,0.02
615.04,0.29,0.02
600.09,0.78,0.01
607.23,0.77,0.01
610.51,0.24,0.01
591.56,0.80,0.02
605.53,0.22,0.02
614.71,0.27,0.01
603.65,0.78,0.01
604.10,0.22,0.02
578.89,0.80,0.02
583.18,0.74,0.02
588.99,0.25,-0.00
599.35,1.00,0.02
597.97,0.20,0.01
610.92,0.25,0.01
601.91,0.77,0.01
595.93,0.75,0.02
597.56,0.98,0.01
577.27,0.72,0.02
582.68,0.24,0.02
596.22,0.26,0.02
602.47,0.76,0.01
612.20,0.20,-0.00
608.08,0.74,0.02
606.59,0.79,0.02
613.21,0.27,0.01
589.12,0.80,0.01
592.11,0.21,0.01
592.93,0.24,0.01
579.25,0.74,0.01
582.27,0.21,0.01
594.00,0.79,0.01
597.10,0.76,0.02
608.80,0.25,0.01
611.59,0.22,0.02
603.24,-0.02,0.02
607.10,0.26,0.01
587.75,0.75,0.01
583.95,0.75,0.01
586.53,0.24,0.01
572.41,0.77,0.02
584.01,0.26,0.01
588.25,0.23,0.01
579.12,0.73,0.01
585.83,0.20,0.00
584.12,0.77,0.02
575.50,0.73,0.01
582.34,0.24,0.00
598.46,0.79,0.02
609.38,0.21,0.01
606.73,0.24,0.01
602.98,0.77,0.02
606.56,0.04,-0.01
619.28,1.03,0.01
603.76,0.78,0.02
613.68,0.24,0.01
609.23,0.23,0.01
601.67,0.76,0.01
596.97,0.26,0.01
578.10,0.72,0.01
581.40,0.74,0.01
590.78,0.24,0.01
574.06,0.78,0.02
581.37,0.20,0.01
585.85,0.24,0.01
576.72,0.74,0.01
583.95,0.20,0.01
567.80,0.77,0.01
575.63,0.73,0.02
583.41,0.24,0.01
599.76,1.00,0.01
593.76,0.01,0.01
608.09,0.26,0.01
596.55,0.81,0.02
616.47,0.21,0.01
604.63,0.24,0.02
582.26,0.75,0.02
582.56,0.21,0.01
569.15,0.78,0.01
582.00,0.73,0.01
592.84,0.25,0.01
589.74,0.24,0.02
577.32,-0.00,0.01
584.70,0.25,0.01
574.16,0.73,0.01
575.90,0.73,0.01
586.09,0.25,0.01
574.06,0.78,0.01
597.06,0.27,0.02
606.99,0.25,0.01
601.45,0.76,0.01
619.82,0.20,0.01
604.21,0.82,0.02
595.81,0.77,0.02
608.18,0.24,0.01
598.02,0.79,0.01
594.47,0.20,0.02
601.92,0.24,0.00
598.81,0.76,0.01
604.92,-0.01,0.01
615.11,1.02,0.02
598.75,0.76,0.02
610.10,0.28,0.02
614.40,0.26,0.01
605.55,0.77,0.01
613.10,0.26,-0.00
597.68,0.75,0.02
604.46,0.78,0.02
612.54,0.27,0.00
593.09,0.80,0.02
593.90,0.21,0.02
589.89,0.23,0.01
575.27,0.75,0.01
591.16,0.21,0.01
572.92,0.77,0.01
594.14,0.75,0.02
617.46,0.26,0.01
610.16,1.02,0.02
605.35,0.02,0.02
622.68,0.25,0.02
595.90,0.75,0.02
604.77,0.77,0.02
604.66,0.24,0.02
580.76,0.72,0.02
593.32,0.27,0.01
591.44,0.24,0.01
579.53,0.74,0.01
601.92,0.22,0.01
596.15,0.80,0.02
600.47,0.76,0.03
615.15,0.25,0.01
601.21,0.81,0.02
616.79,0.23,0.02
600.56,0.24,0.03
579.82,0.74,0.02
581.55,0.01,0.01
589.63,0.79,0.01
605.22,0.76,0.01
612.29,0.26,0.01
617.02,0.24,0.01
588.06,0.75,0.02
591.22,0.26,0.01
578.39,0.74,0.01
580.13,0.74,0.02
588.23,0.24,0.01
594.41,0.81,0.02
605.77,0.21,0.01
608.51,0.25,0.02
606.38,0.78,0.01
619.88,0.20,0.01
600.09,0.80,0.01
594.03,0.75,0.02
596.20,0.23,0.01
590.43,0.97,0.01
572.31,0.21,0.02
582.53,0.24,0.02
571.56,0.73,0.02
574.92,0.74,0.01
585.57,0.97,0.01
574.55,0.72,0.02
593.49,0.25,0.01
606.59,0.24,0.02
605.62,0.77,0.02
610.50,0.24,0.01
600.16,0.75,0.02
593.16,0.75,0.01
588.53,0.24,0.02
570.32,0.77,0.01
587.84,0.21,0.00
602.92,0.25,0.01
593.53,0.76,0.01
609.66,0.01,0.02
589.40,0.81,0.02
601.95,0.76,0.01
605.37,0.27,0.02
611.94,0.28,0.02
595.20,0.01,0.01
613.26,0.26,0.01
607.41,0.76,0.01
601.07,0.78,0.02
616.81,0.25,0.01
613.05,0.81,0.02
621.06,0.28,0.02
610.54,0.25,0.01
585.02,0.75,0.02
602.62,0.18,0.02
597.16,0.80,0.02
600.56,0.77,0.02
612.47,0.24,0.02
598.17,0.79,0.02
594.99,0.20,0.02
586.71,0.24,0.02
583.39,0.74,0.02
575.67,0.00,0.02
586.19,0.97,0.01
578.10,0.73,0.02
